32:{(4,1) ; (2,2) ; (7,3) ; (3,4) ; (6,5) ; (8,6) ; (1,7) ; (7,1)}
33:{(4,1) ; (2,2) ; (7,3) ; (3,4) ; (6,5) ; (8,6) ; (5,7) ; (7,5)}
34:{(4,1) ; (2,2) ; (7,3) ; (5,4) ; (1,5) ; (8,6) ; (6,7) ; (7,6)}
35:{(4,1) ; (2,2) ; (8,3) ; (5,4) ; (7,5) ; (1,6) ; (3,7) ; (7,3)}
36:{(4,1) ; (2,2) ; (8,3) ; (6,4) ; (1,5) ; (3,6) ; (5,7) ; (7,5)}
37:{(4,1) ; (6,2) ; (1,3) ; (5,4) ; (2,5) ; (8,6) ; (3,7) ; (7,3)}
38:{(4,1) ; (6,2) ; (8,3) ; (2,4) ; (7,5) ; (1,6) ; (3,7) ; (7,3)}
39:{(4,1) ; (6,2) ; (8,3) ; (3,4) ; (1,5) ; (7,6) ; (5,7) ; (7,5)}
40:{(4,1) ; (7,2) ; (1,3) ; (8,4) ; (5,5) ; (2,6) ; (6,7) ; (7,6)}
41:{(4,1) ; (7,2) ; (3,3) ; (8,4) ; (2,5) ; (5,6) ; (1,7) ; (7,1)}
42:{(4,1) ; (7,2) ; (5,3) ; (2,4) ; (6,5) ; (1,6) ; (3,7) ; (7,3)}
43:{(4,1) ; (7,2) ; (5,3) ; (3,4) ; (1,5) ; (6,6) ; (8,7) ; (7,8)}
44:{(4,1) ; (8,2) ; (1,3) ; (3,4) ; (6,5) ; (2,6) ; (7,7) ; (7,7)}
45:{(4,1) ; (8,2) ; (1,3) ; (5,4) ; (7,5) ; (2,6) ; (6,7) ; (7,6)}
46:{(4,1) ; (8,2) ; (5,3) ; (3,4) ; (1,5) ; (7,6) ; (2,7) ; (7,2)}
47:{(5,1) ; (1,2) ; (4,3) ; (6,4) ; (8,5) ; (2,6) ; (7,7) ; (7,7)}
48:{(5,1) ; (1,2) ; (8,3) ; (4,4) ; (2,5) ; (7,6) ; (3,7) ; (7,3)}
49:{(5,1) ; (1,2) ; (8,3) ; (6,4) ; (3,5) ; (7,6) ; (2,7) ; (7,2)}
50:{(5,1) ; (2,2) ; (4,3) ; (6,4) ; (8,5) ; (3,6) ; (1,7) ; (7,1)}
51:{(5,1) ; (2,2) ; (4,3) ; (7,4) ; (3,5) ; (8,6) ; (6,7) ; (7,6)}
52:{(5,1) ; (2,2) ; (6,3) ; (1,4) ; (7,5) ; (4,6) ; (8,7) ; (7,8)}
53:{(5,1) ; (2,2) ; (8,3) ; (1,4) ; (4,5) ; (7,6) ; (3,7) ; (7,3)}
54:{(5,1) ; (3,2) ; (1,3) ; (6,4) ; (8,5) ; (2,6) ; (4,7) ; (7,4)}
55:{(5,1) ; (3,2) ; (1,3) ; (7,4) ; (2,5) ; (8,6) ; (6,7) ; (7,6)}
56:{(5,1) ; (3,2) ; (8,3) ; (4,4) ; (7,5) ; (1,6) ; (6,7) ; (7,6)}
57:{(5,1) ; (7,2) ; (1,3) ; (3,4) ; (8,5) ; (6,6) ; (4,7) ; (7,4)}
58:{(5,1) ; (7,2) ; (1,3) ; (4,4) ; (2,5) ; (8,6) ; (6,7) ; (7,6)}
59:{(5,1) ; (7,2) ; (2,3) ; (4,4) ; (8,5) ; (1,6) ; (3,7) ; (7,3)}
60:{(5,1) ; (7,2) ; (2,3) ; (6,4) ; (3,5) ; (1,6) ; (4,7) ; (7,4)}
61:{(5,1) ; (7,2) ; (2,3) ; (6,4) ; (3,5) ; (1,6) ; (8,7) ; (7,8)}
62:{(5,1) ; (7,2) ; (4,3) ; (1,4) ; (3,5) ; (8,6) ; (6,7) ; (7,6)}
63:{(5,1) ; (8,2) ; (4,3) ; (1,4) ; (3,5) ; (6,6) ; (2,7) ; (7,2)}
64:{(5,1) ; (8,2) ; (4,3) ; (1,4) ; (7,5) ; (2,6) ; (6,7) ; (7,6)}
65:{(6,1) ; (1,2) ; (5,3) ; (2,4) ; (8,5) ; (3,6) ; (7,7) ; (7,7)}
66:{(6,1) ; (2,2) ; (7,3) ; (1,4) ; (3,5) ; (5,6) ; (8,7) ; (7,8)}
67:{(6,1) ; (2,2) ; (7,3) ; (1,4) ; (4,5) ; (8,6) ; (5,7) ; (7,5)}
68:{(6,1) ; (3,2) ; (1,3) ; (7,4) ; (5,5) ; (8,6) ; (2,7) ; (7,2)}
69:{(6,1) ; (3,2) ; (1,3) ; (8,4) ; (4,5) ; (2,6) ; (7,7) ; (7,7)}
70:{(6,1) ; (3,2) ; (1,3) ; (8,4) ; (5,5) ; (2,6) ; (4,7) ; (7,4)}
71:{(6,1) ; (3,2) ; (5,3) ; (7,4) ; (1,5) ; (4,6) ; (2,7) ; (7,2)}
72:{(6,1) ; (3,2) ; (5,3) ; (8,4) ; (1,5) ; (4,6) ; (2,7) ; (7,2)}
73:{(6,1) ; (3,2) ; (7,3) ; (2,4) ; (4,5) ; (8,6) ; (1,7) ; (7,1)}
74:{(6,1) ; (3,2) ; (7,3) ; (2,4) ; (8,5) ; (5,6) ; (1,7) ; (7,1)}
75:{(6,1) ; (3,2) ; (7,3) ; (4,4) ; (1,5) ; (8,6) ; (2,7) ; (7,2)}
76:{(6,1) ; (4,2) ; (1,3) ; (5,4) ; (8,5) ; (2,6) ; (7,7) ; (7,7)}
77:{(6,1) ; (4,2) ; (2,3) ; (8,4) ; (5,5) ; (7,6) ; (1,7) ; (7,1)}
78:{(6,1) ; (4,2) ; (7,3) ; (1,4) ; (3,5) ; (5,6) ; (2,7) ; (7,2)}
79:{(6,1) ; (4,2) ; (7,3) ; (1,4) ; (8,5) ; (2,6) ; (5,7) ; (7,5)}
80:{(6,1) ; (8,2) ; (2,3) ; (4,4) ; (1,5) ; (7,6) ; (5,7) ; (7,5)}
81:{(7,1) ; (1,2) ; (3,3) ; (8,4) ; (6,5) ; (4,6) ; (2,7) ; (7,2)}
82:{(7,1) ; (2,2) ; (4,3) ; (1,4) ; (8,5) ; (5,6) ; (3,7) ; (7,3)}
83:{(7,1) ; (2,2) ; (6,3) ; (3,4) ; (1,5) ; (4,6) ; (8,7) ; (7,8)}
84:{(7,1) ; (3,2) ; (1,3) ; (6,4) ; (8,5) ; (5,6) ; (2,7) ; (7,2)}
85:{(7,1) ; (3,2) ; (8,3) ; (2,4) ; (5,5) ; (1,6) ; (6,7) ; (7,6)}
86:{(7,1) ; (4,2) ; (2,3) ; (5,4) ; (8,5) ; (1,6) ; (3,7) ; (7,3)}
87:{(7,1) ; (4,2) ; (2,3) ; (8,4) ; (6,5) ; (1,6) ; (3,7) ; (7,3)}
88:{(7,1) ; (5,2) ; (3,3) ; (1,4) ; (6,5) ; (8,6) ; (2,7) ; (7,2)}
89:{(8,1) ; (2,2) ; (4,3) ; (1,4) ; (7,5) ; (5,6) ; (3,7) ; (7,3)}
90:{(8,1) ; (2,2) ; (5,3) ; (3,4) ; (1,5) ; (7,6) ; (4,7) ; (7,4)}
91:{(8,1) ; (3,2) ; (1,3) ; (6,4) ; (2,5) ; (5,6) ; (7,7) ; (7,7)}
92:{(8,1) ; (4,2) ; (1,3) ; (3,4) ; (6,5) ; (2,6) ; (7,7) ; (7,7)}
