28:{(1,1) ; (6,2) ; (8,3) ; (5,4) ; (2,5) ; (9,6) ; (3,7) ; (10,8) ; (7,9) ; (9,7)}
29:{(1,1) ; (6,2) ; (8,3) ; (10,4) ; (4,5) ; (9,6) ; (3,7) ; (5,8) ; (7,9) ; (9,7)}
30:{(1,1) ; (6,2) ; (9,3) ; (3,4) ; (8,5) ; (4,6) ; (2,7) ; (10,8) ; (5,9) ; (9,5)}
31:{(1,1) ; (6,2) ; (9,3) ; (3,4) ; (10,5) ; (7,6) ; (4,7) ; (2,8) ; (5,9) ; (9,5)}
32:{(1,1) ; (6,2) ; (9,3) ; (5,4) ; (10,5) ; (8,6) ; (4,7) ; (2,8) ; (7,9) ; (9,7)}
33:{(1,1) ; (6,2) ; (9,3) ; (7,4) ; (2,5) ; (4,6) ; (8,7) ; (10,8) ; (5,9) ; (9,5)}
34:{(1,1) ; (6,2) ; (10,3) ; (3,4) ; (7,5) ; (9,6) ; (4,7) ; (2,8) ; (5,9) ; (9,5)}
35:{(1,1) ; (7,2) ; (2,3) ; (6,4) ; (8,5) ; (10,6) ; (4,7) ; (9,8) ; (3,9) ; (9,3)}
36:{(1,1) ; (7,2) ; (4,3) ; (6,4) ; (9,5) ; (2,6) ; (10,7) ; (5,8) ; (3,9) ; (9,3)}
37:{(1,1) ; (7,2) ; (4,3) ; (10,4) ; (8,5) ; (2,6) ; (5,7) ; (3,8) ; (6,9) ; (9,6)}
38:{(1,1) ; (7,2) ; (5,3) ; (2,4) ; (8,5) ; (10,6) ; (3,7) ; (9,8) ; (6,9) ; (9,6)}
39:{(1,1) ; (7,2) ; (5,3) ; (8,4) ; (2,5) ; (9,6) ; (6,7) ; (3,8) ; (10,9) ; (9,10)}
40:{(1,1) ; (7,2) ; (9,3) ; (2,4) ; (6,5) ; (10,6) ; (3,7) ; (5,8) ; (8,9) ; (9,8)}
41:{(1,1) ; (7,2) ; (9,3) ; (2,4) ; (8,5) ; (5,6) ; (3,7) ; (10,8) ; (6,9) ; (9,6)}
42:{(1,1) ; (7,2) ; (9,3) ; (3,4) ; (8,5) ; (2,6) ; (4,7) ; (6,8) ; (10,9) ; (9,10)}
43:{(1,1) ; (7,2) ; (9,3) ; (6,4) ; (3,5) ; (10,6) ; (8,7) ; (5,8) ; (2,9) ; (9,2)}
44:{(1,1) ; (7,2) ; (10,3) ; (6,4) ; (2,5) ; (9,6) ; (5,7) ; (3,8) ; (8,9) ; (9,8)}
45:{(1,1) ; (8,2) ; (2,3) ; (7,4) ; (9,5) ; (3,6) ; (5,7) ; (10,8) ; (4,9) ; (9,4)}
