22:{(1,1) ; (7,2) ; (4,3) ; (6,4) ; (9,5) ; (2,6) ; (5,7) ; (3,8) ; (8,3)}
23:{(1,1) ; (7,2) ; (4,3) ; (8,4) ; (3,5) ; (5,6) ; (9,7) ; (2,8) ; (8,2)}
24:{(1,1) ; (7,2) ; (4,3) ; (8,4) ; (3,5) ; (9,6) ; (6,7) ; (2,8) ; (8,2)}
25:{(1,1) ; (7,2) ; (5,3) ; (8,4) ; (2,5) ; (9,6) ; (3,7) ; (6,8) ; (8,6)}
26:{(1,1) ; (8,2) ; (4,3) ; (2,4) ; (7,5) ; (9,6) ; (6,7) ; (3,8) ; (8,3)}
27:{(1,1) ; (8,2) ; (5,3) ; (3,4) ; (6,5) ; (9,6) ; (2,7) ; (4,8) ; (8,4)}
28:{(1,1) ; (8,2) ; (5,3) ; (3,4) ; (9,5) ; (7,6) ; (2,7) ; (4,8) ; (8,4)}
29:{(2,1) ; (4,2) ; (1,3) ; (7,4) ; (9,5) ; (6,6) ; (3,7) ; (5,8) ; (8,5)}
30:{(2,1) ; (4,2) ; (7,3) ; (1,4) ; (3,5) ; (9,6) ; (6,7) ; (8,8) ; (8,8)}
31:{(2,1) ; (4,2) ; (8,3) ; (3,4) ; (9,5) ; (6,6) ; (1,7) ; (5,8) ; (8,5)}
32:{(2,1) ; (4,2) ; (9,3) ; (7,4) ; (3,5) ; (1,6) ; (6,7) ; (8,8) ; (8,8)}
33:{(2,1) ; (4,2) ; (9,3) ; (7,4) ; (5,5) ; (3,6) ; (1,7) ; (6,8) ; (8,6)}
34:{(2,1) ; (5,2) ; (7,3) ; (1,4) ; (3,5) ; (8,6) ; (6,7) ; (4,8) ; (8,4)}
35:{(2,1) ; (5,2) ; (7,3) ; (4,4) ; (1,5) ; (3,6) ; (9,7) ; (6,8) ; (8,6)}
36:{(2,1) ; (5,2) ; (7,3) ; (9,4) ; (3,5) ; (6,6) ; (4,7) ; (1,8) ; (8,1)}
37:{(2,1) ; (5,2) ; (7,3) ; (9,4) ; (4,5) ; (8,6) ; (1,7) ; (3,8) ; (8,3)}
38:{(2,1) ; (5,2) ; (8,3) ; (1,4) ; (3,5) ; (6,6) ; (9,7) ; (7,8) ; (8,7)}
39:{(2,1) ; (5,2) ; (8,3) ; (1,4) ; (9,5) ; (6,6) ; (3,7) ; (7,8) ; (8,7)}
40:{(2,1) ; (5,2) ; (8,3) ; (6,4) ; (9,5) ; (3,6) ; (1,7) ; (4,8) ; (8,4)}
41:{(2,1) ; (5,2) ; (8,3) ; (6,4) ; (9,5) ; (3,6) ; (1,7) ; (7,8) ; (8,7)}
42:{(2,1) ; (5,2) ; (9,3) ; (4,4) ; (1,5) ; (8,6) ; (6,7) ; (3,8) ; (8,3)}
43:{(2,1) ; (6,2) ; (1,3) ; (3,4) ; (7,5) ; (9,6) ; (4,7) ; (8,8) ; (8,8)}
44:{(2,1) ; (6,2) ; (1,3) ; (7,4) ; (4,5) ; (8,6) ; (3,7) ; (5,8) ; (8,5)}
45:{(2,1) ; (6,2) ; (1,3) ; (7,4) ; (5,5) ; (3,6) ; (9,7) ; (4,8) ; (8,4)}
46:{(2,1) ; (6,2) ; (1,3) ; (9,4) ; (5,5) ; (8,6) ; (4,7) ; (7,8) ; (8,7)}
47:{(2,1) ; (6,2) ; (3,3) ; (1,4) ; (8,5) ; (4,6) ; (9,7) ; (7,8) ; (8,7)}
48:{(2,1) ; (6,2) ; (9,3) ; (3,4) ; (5,5) ; (8,6) ; (4,7) ; (1,8) ; (8,1)}
49:{(2,1) ; (7,2) ; (5,3) ; (1,4) ; (9,5) ; (4,6) ; (6,7) ; (8,8) ; (8,8)}
50:{(2,1) ; (7,2) ; (5,3) ; (8,4) ; (1,5) ; (4,6) ; (6,7) ; (3,8) ; (8,3)}
51:{(2,1) ; (7,2) ; (9,3) ; (6,4) ; (3,5) ; (1,6) ; (4,7) ; (8,8) ; (8,8)}
52:{(2,1) ; (8,2) ; (1,3) ; (4,4) ; (7,5) ; (9,6) ; (6,7) ; (3,8) ; (8,3)}
53:{(2,1) ; (8,2) ; (5,3) ; (3,4) ; (9,5) ; (6,6) ; (4,7) ; (1,8) ; (8,1)}
54:{(2,1) ; (8,2) ; (6,3) ; (9,4) ; (3,5) ; (1,6) ; (4,7) ; (7,8) ; (8,7)}
55:{(2,1) ; (9,2) ; (5,3) ; (3,4) ; (8,5) ; (4,6) ; (7,7) ; (1,8) ; (8,1)}
56:{(2,1) ; (9,2) ; (6,3) ; (3,4) ; (5,5) ; (8,6) ; (1,7) ; (4,8) ; (8,4)}
57:{(2,1) ; (9,2) ; (6,3) ; (3,4) ; (7,5) ; (4,6) ; (1,7) ; (8,8) ; (8,8)}
58:{(2,1) ; (9,2) ; (6,3) ; (4,4) ; (7,5) ; (1,6) ; (3,7) ; (5,8) ; (8,5)}
59:{(3,1) ; (1,2) ; (4,3) ; (7,4) ; (9,5) ; (2,6) ; (5,7) ; (8,8) ; (8,8)}
60:{(3,1) ; (1,2) ; (6,3) ; (8,4) ; (5,5) ; (2,6) ; (4,7) ; (9,8) ; (8,9)}
61:{(3,1) ; (1,2) ; (7,3) ; (2,4) ; (8,5) ; (6,6) ; (4,7) ; (9,8) ; (8,9)}
62:{(3,1) ; (1,2) ; (7,3) ; (5,4) ; (8,5) ; (2,6) ; (4,7) ; (6,8) ; (8,6)}
63:{(3,1) ; (1,2) ; (8,3) ; (4,4) ; (9,5) ; (7,6) ; (5,7) ; (2,8) ; (8,2)}
64:{(3,1) ; (1,2) ; (9,3) ; (7,4) ; (5,5) ; (2,6) ; (8,7) ; (6,8) ; (8,6)}
65:{(3,1) ; (5,2) ; (2,3) ; (8,4) ; (1,5) ; (4,6) ; (7,7) ; (9,8) ; (8,9)}
66:{(3,1) ; (5,2) ; (2,3) ; (8,4) ; (1,5) ; (7,6) ; (4,7) ; (6,8) ; (8,6)}
67:{(3,1) ; (5,2) ; (7,3) ; (1,4) ; (4,5) ; (2,6) ; (8,7) ; (6,8) ; (8,6)}
68:{(3,1) ; (5,2) ; (8,3) ; (2,4) ; (9,5) ; (6,6) ; (1,7) ; (7,8) ; (8,7)}
69:{(3,1) ; (5,2) ; (8,3) ; (2,4) ; (9,5) ; (7,6) ; (1,7) ; (4,8) ; (8,4)}
70:{(3,1) ; (5,2) ; (9,3) ; (2,4) ; (4,5) ; (7,6) ; (1,7) ; (8,8) ; (8,8)}
71:{(3,1) ; (5,2) ; (9,3) ; (4,4) ; (1,5) ; (7,6) ; (2,7) ; (6,8) ; (8,6)}
72:{(3,1) ; (6,2) ; (2,3) ; (7,4) ; (1,5) ; (4,6) ; (8,7) ; (5,8) ; (8,5)}
73:{(3,1) ; (6,2) ; (2,3) ; (9,4) ; (5,5) ; (1,6) ; (8,7) ; (4,8) ; (8,4)}
74:{(3,1) ; (6,2) ; (8,3) ; (1,4) ; (4,5) ; (7,6) ; (5,7) ; (2,8) ; (8,2)}
75:{(3,1) ; (6,2) ; (8,3) ; (1,4) ; (5,5) ; (9,6) ; (2,7) ; (4,8) ; (8,4)}
76:{(3,1) ; (6,2) ; (8,3) ; (2,4) ; (4,5) ; (9,6) ; (7,7) ; (5,8) ; (8,5)}
77:{(3,1) ; (6,2) ; (8,3) ; (5,4) ; (1,5) ; (9,6) ; (7,7) ; (2,8) ; (8,2)}
78:{(3,1) ; (6,2) ; (8,3) ; (5,4) ; (2,5) ; (9,6) ; (7,7) ; (4,8) ; (8,4)}
